Post ID,Post Date,Post Time,Post Type,Post Visibility,Message Length,People Reached (Lifetime),Organic Reach (Lifetime),Viral Reach (Lifetime),Fan Reach (Lifetime)
15408433177_10156080153998178,102318,9:14:31,link,Visible,411,88738,88738,38680,52549
15408433177_10156079080918178,102218,18:30:06,photo,Visible,2645,24434,24434,3255,20659
15408433177_10156077930768178,102218,8:30:21,link,Visible,231,27320,27320,6809,21375
15408433177_10156076906768178,102118,18:30:06,photo,Visible,1176,30868,30868,5348,24751
15408433177_10156076365138178,102118,14:30:07,link,Visible,799,12606,12606,1229,10666
15408433177_10156075767673178,102118,9:29:07,link,Visible,363,14073,14073,2298,11543
15408433177_10156074441388178,102018,18:30:06,photo,Visible,1071,72243,72243,42841,31496
15408433177_10156073914593178,102018,14:01:03,link,Visible,225,38968,38968,2745,35912
15408433177_10156073352688178,102018,8:30:10,photo,Visible,216,25967,25967,1751,23315
15408433177_10156072222033178,101918,18:30:06,photo,Visible,1151,32509,32509,4655,27751
15408433177_10156071794838178,101918,14:00:18,link,Visible,240,33704,33704,3168,29585
15408433177_10156071361783178,101918,9:30:11,link,Visible,132,38516,38516,1626,36148
15408433177_10156070231313178,101818,18:30:06,photo,Visible,1509,82021,82021,52139,31880
15408433177_10156069995593178,101818,15:57:11,link,Visible,133,24645,24645,2867,21162
15408433177_10156069179878178,101818,8:30:08,link,Visible,180,21967,21967,9014,14465
15408433177_10156068165613178,101718,18:30:07,photo,Visible,976,61510,61510,16441,45642
15408433177_10156067738893178,101718,14:00:14,link,Visible,192,20646,20646,296,19424
15408433177_10156066180478178,101618,18:30:09,photo,Visible,901,37594,37594,4991,32246
15408433177_10156065906978178,101618,15:30:20,link,Visible,199,16251,16251,183,15240
15408433177_10156065341848178,101618,12:00:02,photo,Visible,209,21800,21800,904,19974
15408433177_10156065218723178,101618,9:30:05,link,Visible,152,34811,34811,967,32350
15408433177_10156065080013178,101618,8:00:16,link,Visible,233,16793,16793,361,15757
15408433177_10156064014308178,101518,18:30:06,photo,Visible,1571,28588,28588,2441,24948
15408433177_10156063505003178,101518,14:00:15,link,Visible,155,25526,25526,2344,22471
15408433177_10156063338348178,101518,12:37:00,photo,Visible,207,19945,19945,481,18987
15408433177_10156056542903178,101518,9:50:00,link,Visible,471,21761,21761,803,20238
15408433177_10156062034463178,101418,18:30:08,photo,Visible,1627,36748,36748,3334,32910
15408433177_10156061474963178,101418,14:30:14,link,Visible,234,29717,29717,2141,26704
15408433177_10156060917888178,101418,10:00:10,link,Visible,157,29570,29570,2052,27087
15408433177_10156059476018178,101318,18:30:05,photo,Visible,1262,36093,36093,3235,31799
15408433177_10156058767858178,101318,13:30:18,link,Visible,128,24650,24650,776,23247
15408433177_10156058255618178,101318,9:30:15,link,Visible,276,29393,29393,1316,27075
